y,Authors (year),Authors complete,Title,Journal/ Conference proceedings,Publication year,Publisher,NLP technology / approach,TA technique coding,Data source,Data source coding,Functionality,Functionality coding,Public service value,Public service value coding,Public value_specified,Public value_specified coding,Co-creation phase,Co-creation phase coding,Co-creation mechanism,Co-creation mechanism coding,Public service,Problem addressed,Public service_specified,Public service coding,Benefit,Country beneficiary,Research method,Stakeholders,,,,,
P11,"Gonzalez, Viana-Barrero, and Acosta-Vargas (2021)","Gonzalez, Mario; Viana-Barrero, Juan; Acosta-Vargas, Patricia",Text Mining in Smart Cities to identify urban events and public service problems,Advances in Intelligent Systems and Computing,2021,Springer,Text mining,TA1. Machine learning,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction; identification of urban events; identification of public service problems,F1. Automatic content analysis and extraction; F2. Patterns identification; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Consulting & ideation; Informing; Citizen reporting,M1_1. Consultation and ideation; M1_2. Informing; M3_1. Citizen reporting,Smart City,Identification of urban events and public service problems,"utilities, mobility, public transport, urban security",PS3. Transport; PS12. Utilities (waste),Identifying problems,Quito/Latin America,quantitative; secondary data; prototyping,citizens; government agencies;,,,,,
P12,"Zhu, Wang, and Pu (2022)","Zhu, Yonghan; Wang, Rui; Pu, Chengyan","I am chatbot, your virtual mental health adviser. What drives citizens' satisfaction and continuance intention toward mental health chatbots during the COVID-19 pandemic? An empirical study in China",Digital Health,2022,SAGE,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering; mental health improvement,F3. Question answering,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Health,Improving mental health of citizens during COVID pandemic,mental health,PS1. Health,Improving mental health,China,quantitative; questionnaire,citizens; government agencies; academic institutions,,,,,
P13,"Andreas, Gunawan, and Budiharto (2019)","Andreas, Vincent; Gunawan, Alexander Agung Santoso; Budiharto, Widodo",Anita: intelligent humanoid robot with self-learning capability using Indonesian language,"2019 4th Asia-Pacific Conference on Intelligent Robot Systems, ACIRS 2019",2019,IEEE,Robots; speech recognition; question answering; speech2text; word2vec; cosine similarity,TA9. Humanoid robots; TA2. Chatbot; T7. Artificial neural networks,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,better contact with public administration; happier customer; reduction of administrative burden;,EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,"Humanoid robots answering questions and communicating with citizens in universities, schools, public services",generic (civic public services),Generic,Humanoid robot-assisted service,Indonesia,qualitative; prototyping,citizens; government agencies; technology companies; private sector companies; academic institutions,,,,,
P14,"Kowalski, Esteve, and Jankin Mikhaylov (2020)","Kowalski, Radoslaw; Esteve, Marc; Jankin Mikhaylov, Slava",Improving public services by mining citizen feedback: An application of natural language processing,Public Administration,2020,Wiley,Topic modeling,TA4. Topic modeling,Free-text survey,DS3. Open-ended question survey,Automation of content analysis and extraction; identification of customer satisfaction,F1. Automatic content analysis and extraction; F2. Patterns identification; F5. Measuring user satisfaction,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design; Co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Citizen reporting,M1_2. Informing; M3_1. Citizen reporting,Health,Measuring and improving user satisfaction regarding public services,health,PS1. Health,Improving customer satisfaction,UK,quantitative; secondary data;,citizens; government agencies;,,,,,
P15,Kim and Hong (2020),"Kim, Na Rang; Hong, Soon Goo",Text mining for the evaluation of public services: the case of a public bike-sharing system,Service Business,2020,Springer,Text mining; deep learning; sentiment analysis; TF-IDF; word tree chart; degree centrality analysis; N-gram networks; NER; CONCOR,TA1. Machine learning; T3. Sentiment analysis; TA7. Artificial neural networks; TA8. Information extraction,Social Media (SNS),DS2. Social media,Automation of content analysis and extraction; identification of customer satisfaction; identification of drivers,F1. Automatic content analysis and extraction; F2. Patterns identification; F4. Extracting meaning from user requests/complaints/opinion; F5. Measuring user satisfaction,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design; Co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Citizen reporting,M1_2. Informing; M3_1. Citizen reporting,Transport,Evaluation of public bike‑sharing services,"transport, mobility (bike-sharing service)",PS3. Transport,Improving transportation,Seoul/ South Korea,quantitative; secondary data;,citizens; private sector companies; government agencies,,,,,
P16,Anastasiou et al. (2022),"Anastasiou, Dimitra; Ruge, Anders; Ion, Radu; Segărceanu, Svetlana; Suciu, George; Pedretti, Olivier; Gratz, Patrick; Afkari, Hoorieh",A machine translation-powered chatbot for public administration,Proceedings of the 23rd Annual Conference of the European Association for Machine Translation,2022,European Association for Machine Translation,Machine translation; chatbot; eTranslation; MT tool; MT API; PyPI langdetect package; BotStudio; BERT-based models; HuggingFace APIs,TA2. Chatbot; TA7. Artificial Neural Networks; TA10. Multilingual solutions,User generated (text or speech),DS1. User generated (text or speech),Question answering; Multiple languages,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; happier customer; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Generic,"Processing the requests from expatriates, who enter a new country, e.g., application for residence, importing a car, starting-up a new business, and building a house are some of such requests.",generic (civic public services),Generic,Multilingual support,"Luxembourg, Denmark, Romania",qualitative; pototyping,citizens; government agencies,,,,,
P17,Gena et al. (2022),"Gena, Cristina; Lillo, Alberto; Mattutino, Claudio; Mosca, Enrico",Wolly: an affective and adaptive educational robot,"Adjunct Proceedings of the 30th ACM Conference on User Modeling, Adaptation and Personalization",2022,ACM,Ontologies; FOAF; RDF; schema.org; speech recognition and generation with Google Cloud Text-to-Speech and Google Speech to Text API,TA5. Semantic Web and Linked Data; TA7. Artificial Neural Networks,User generated (text or speech),DS1. User generated (text or speech),Engaging education,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; happier customer; personalized service delivery;,EV1. Increased efficiency; SV1. Satisfied public service user; CV6. Personalized service delivery;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Education,"Education, interaction both verbally and affectively with students",studying (Education),PS6. Education,Robot-assisted education,n.a.,qualitative; prototyping,citizens; academic institutions; technology companies,,,,,
P18,Nanda et al. (2019),"Nanda, Rohan; Siragusa, Giovanni; Di Caro, Luigi; Boella, Guido; Grossio, Lorenzo; Gerbaudo, Marco; Costamagna, Francesco",Unsupervised and supervised text similarity systems for automated identification of national implementing measures of European directives,Artificial Intelligence and Law,2019,Springer,Word and paragraph embedding models; neural networks; unsupervised semantic similarity systems,TA1. Machine learning; TA7. Artificial Neural Networks,Government websites,DS4. Government website/platform,Automation of content analysis and extraction; identification of national implementing measures of European directives,F1. Automatic content analysis and extraction; F2. Patterns identification,economic value; citizen value,EV. Economic value; SV. Societal value,time saving for the authorities; transparency,EV2. Time-saving for the authorities and businesses; CV1. Transparency,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Open book government,M1_2. Informing; M3_2. Participatory open data,eGovernment; Politics,Automated identifcation of national implementations of European directives,"justice, policy making",PS4. Policy-making; PS2. Justice,Implementation of EU directives,"Ireland, Luxembourg, Italy",qualitative; exploratory; computer modeling,government agencies; NLP experts,,,,,
P19,Ratnayaka et al. (2018),"Ratnayaka, Gathika; Rupasinghe, Thejan; de Silva, Nisansa; Warushavithana, Menuka; Gamage, Viraj; Perera, Amal Shehan",Identifying relationships among sentences in court case transcripts using discourse relations,2018 International Conference on Advances in ICT for Emerging Regions (ICTer),2018,IEEE,Semantic similarity; cosine similarity; discourse relation,TA1. Machine learning,Government database,DS5. Government database/OGD,Automation of content analysis and extraction; identification of similar court cases,F1. Automatic content analysis and extraction; F2. Patterns identification,economic value; administrative value,EV. Economic value; AV. Administrative value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design; co-delivery,P1. Co-design; P2. Co-delivery,Informing; crowd-sourcing,M1_2. Informing; M2_1. Crowdsourcing,Legal,Supporting legal officials in performing their duties by obtaining the information obtained from previous court cases,justice,PS2. Justice,Supporting legal case processing,n.a.,qualitative; exploratory; computer modeling,government agencies; NLP experts,,,,,
P20,Sugathadasa et al. (2018),"Sugathadasa, Keet; Ayesha, Buddhi; de Silva, Nisansa; Perera, Amal Shehan; Jayawardana, Vindula; Lakmal, Dimuthu; Perera, Madhavi",Legal document retrieval using document vector embeddings and deep learning,Proceedings of the 2018 Computing Conference,2018,Springer,Sentence similarity; document embedding; deep learning,TA7. Artificial Neural Networks,Government database,DS5. Government database/OGD,Automation of content analysis and extraction; legal information retrieval,F1. Automatic content analysis and extraction,economic value; administrative value,EV. Economic value; AV. Administrative value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design; co-delivery,P1. Co-design; P2. Co-delivery,Informing; crowd-sourcing,M1_2. Informing; M2_1. Crowdsourcing,Legal,Developing legal information systems,justice,PS2. Justice,Supporting legal case processing,n.a.,qualitative; exploratory; computer modeling,government agencies; NLP experts,,,,,
P21,"Adnan, Hamdan, and Alareeni (2021)","Adnan, Sayed Mahmood; Hamdan, Allam; Alareeni, Bahaaeddin",Artificial Intelligence for Public Sector: Chatbots as a customer service representative,Proceedings of the International Conference on Business and Technology,2021,Springer,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,better contact with public administration; happier customer; reduction of administrative burden;,EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Smart City,Chatbots for various public services,generic (civic public services),Generic,Improving public services with chatbots,n.a.,qualitative; literature review; exploratory,citizens; government agencies;,,,,,
P22,Rodríguez Bolívar and Alcaide Muñoz (2022),"Rodríguez Bolívar, Manuel Pedro; Alcaide Muñoz, Laura",Identification of research trends in emerging technologies implementation on public services using text mining analysis,Information Technology and People,2022,Emerald,Text mining; clustering analysis,TA1. Machine learning,Research papers,DS7. Research papers,Automation of content analysis and extraction; identification of research trends,F1. Automatic content analysis and extraction; F2. Patterns identification,economic value;,EV. Economic value,increased efficiency;,EV1. Increased efficiency;,Co-design,P1. Co-design,Informing,M1_2. Informing,Research,Identification of research trends in emerging technologies implementation on public service,generic (civic public services),Generic,Identifying trends in emerging technologies in public service,n.a.,qualitative; exploratory,academic institutions; NLP experts,,,,,
P23,Ferri et al. (2022),"Ferri, Pablo; Sáez, Carlos; Félix-De Castro, Antonio; Sánchez-Cuesta, Purificación; García-Gómez, Juan M.",Discovering key topics in emergency medical dispatch from free text dispatcher observations,Studies in Health Technology and Informatics,2022,IOS Press,Topic modeling; LDA,TA4. Topic modeling,Government websites,DS4. Government website/platform,Automation of content analysis and extraction; identification of key topics in emergency medical dispatch,F1. Automatic content analysis and extraction; F2. Patterns identification,economic value; administrative value; citizen value,EV. Economic value; AV. Administrative value; CV. Citizen value,increased efficiency; time saving for the authorities; happier customer; increase in number of services delivered;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV4. Increase in number of services delivered;,Co-design,P1. Co-design,Informing,M1_2. Informing,Health,"Update of structured emergency triage algorithms to directly include this latent information in the triage process, resulting in a positive impact in patient wellbeing and health services sustainability",health,PS1. Health,Improving health services,n.a.,quantitative; secondary data;,citizens; government agencies;,,,,,
P24,Cantador et al. (2021),"Cantador, Iván; Viejo-Tardío, Jesús; Cortés-Cediel, María E.; Rodríguez Bolívar, Manuel Pedro",A chatbot for searching and exploring open data: Implementation and evaluation in e-government,ACM International Conference Proceeding Series,2021,ACM,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Automation of content analysis and extraction; exploration of large data volumes,F1. Automatic content analysis and extraction,economic value; administrative value,EV. Economic value; AV. Administrative value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,eGovernment,Searching and exploring open data relevant for E-Government,generic (civic public services),Generic,Improving open government data search with chatbots,n.a.,qualitative; prototyping,citizens; government agencies;,,,,,
P25,Muliawaty et al. (2019),"Muliawaty, Lia; Alamsyah, Kamal; Salamah, Ummu; Maylawati, Dian Sa",The concept of big data in bureaucratic service using sentiment analysis,International Journal of Sociotechnology and Knowledge Development,2019,Information Resources Management Association,Sentiment,TA3. Sentiment analysis,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction; identification of societal opinion,F1. Automatic content analysis and extraction; F2. Patterns identification; F4. F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Generic,Analyzing the opinions about bureaucratic service,generic (civic public services),Generic,Improving customer satisfaction,Indonesia,quantitative; secondary data; computer modeling,citizens; government agencies;,,,,,
P26,Gerontas et al. (2022),"Gerontas, Alexandros; Zeginis, Dimitris; Promikyridis, Rafail; Androš, Marin; Tambouris, Efthimios; Cipan, Vibor; Tarabanis, Konstantinos",Enhancing core public service vocabulary to enable public service personalization,Information (Switzerland),2022,MDPI,Knowledge graph; chatbot,TA2. Chatbot; TA5. Semantic Web and Linked Data,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; personalized public service; happier customer; personalized service delivery;,EV1. Increased efficiency; EV3. Easier to contact with public service; SV1. Satisfied public service user; CV6. Personalized service delivery;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Health,Public service personalization,generic (civic public services),PS1. Health,Personalizing public services,Bjelovar/ Croatia,qualitative; prototyping; case study; conceptual modeling,citizens; government agencies; NLP experts,,,,,
P27,Henman (2020),"Henman, Paul","Improving public services using artificial intelligence: possibilities, pitfalls, governance",Asia Pacific Journal of Public Administration,2020,Routledge,AI; automated decision-making; chatbot,TA7. Artificial Neural Networks; TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),"Recognizing patterns; identification of passenger risk profiles at the airport; identification of the level of risk of child maltreatment; identification of long-term unemployment, recidivism, tax/welfare fraud or food violation vendors; predictive modelling of demand at hospitals, prediction of forest fire; automated traffic control; prediction of locations and times of theft; question answering; navigating complex policies and legislation",F2. Patterns identification,"economic value; administrative
value; societal value; citizen value",EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,less government expenditure; less human resources; increased efficiency; better contact with public administration; enhance the use of digitalization and new business models; time saving for the authorities and businesses; easier business compliance with rules and regulation; personalized public service; single line of communication; increase trust in the public sector; happier customer; better services due to quality standards; personalized service delivery; increase in number of services delivered; reduction of administrative burden; transparency,EV6. Less government expenditure; EV5. Less human resources; EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models and new business models; EV2. Time-saving for the authorities and businesses and businesses; AV3. Easier business compliance with rules and regulations; CV6. Personalized service delivery; AV2. Single line of communication; SV2. Increase trust in public service; SV1. Satisfied public service user; CV3. Better services due to quality standards; CV6. Personalized service delivery; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Diverse,"Management of large citizen contact volumes, navigation in complex policies and legislation",generic (civic public services),PS4. Policy-making; PS2. Justice,Improving public services with chatbots,n.a.,qualitative; exploratory; literature review,citizens; government agencies; NLP experts,,,,,
P28,Jones and Jones (2019),"Jones, Bronwyn; Jones, Rhianne",Public service chatbots: Automating conversation with BBC News,Digital Journalism,2019,Routledge,News bot,TA2. Chatbot,Social Media (news),DS2. Social media,"Newsgathering bots search, monitor, retrieve, alert or nudge; Production bots collate, analyse, create, edit, visualise, automate news writing; Distribution bots (re-)publish/broadcast, share and respond",F1. Automatic content analysis and extraction; F8. Automatic content generation,economic value;,EV. Economic value,less human resources; increased efficiency; time saving for the authorities,EV5. Less human resources; EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses,Co-design,P1. Co-design,Informing,M1_2. Informing,Journalism; Social Media,"Automating public service media, distribution and editing of news",public service media,PS8. Public service media,Automating public service media production,n.a.,qualitative; case study,citizens; government agencies;,,,,,
P29,Criado and Villodre (2021),"Criado, J. Ignacio; Villodre, Julian",Delivering public services through social media in European local governments. An interpretative framework using semantic algorithms,Local Government Studies,2021,Routledge,Commercial NLP software; semantic algorithms; machine-learning,TA1. Machine learning,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction; social media analysis,F1. Automatic content analysis and extraction,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; better contact with public administration; happier customer;,EV1. Increased efficiency; EV3. Easier to contact with public service; SV1. Satisfied public service user;,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Generic,Promoting social media use by public administration for public service delivery,public service media / generic (civic public services),PS8. Public service media,Improving public service delivery,"Netherlands, Spain, Sweden, United Kingdom",quantitative; secondary data; conceptual modeling; computer modeling,citizens; government agencies;,,,,,
